Télécharger un fichier CSV avec des données,Résultats des Prédictions,timestamp
.gradio/flagged/Télécharger un fichier CSV avec des données/9d8ac6d9b52f07bd38e0/Car_dataset.csv,"{""headers"": [""1"", ""2"", ""3""], ""data"": [["""", """", """"]], ""metadata"": null}",2025-01-14 00:43:46.057443
,"{""headers"": [""1"", ""2"", ""3""], ""data"": [["""", """", """"]], ""metadata"": null}",2025-01-14 00:45:21.159019
.gradio/flagged/Télécharger un fichier CSV avec des données/5904e9767e50e5dc507e/Car_dataset.csv,"{""headers"": [""1"", ""2"", ""3""], ""data"": [["""", """", """"]], ""metadata"": null}",2025-01-14 00:45:42.617864
